cluster,rank,label,count,share,cluster_size
37,2,Tablets,40,0.015232292460015232,2626
37,3,Notebooks,3,0.0011424219345011425,2626
54,1,Notebook Parts & Accessories,2619,0.999618320610687,2620
54,2,Handheld Mobile Computer Spare Parts,1,0.0003816793893129771,2620
94,1,Antivirus Security Software,2256,0.8633754305396096,2613
94,2,Software Licenses/Upgrades,357,0.13662456946039037,2613
31,1,Networking Cables,2438,0.9497467861316712,2567
31,2,Patch Panels,42,0.016361511492014025,2567
31,3,Wire Connectors,20,0.007791195948578107,2567
22,1,Keyboards,1758,0.68671875,2560
22,2,Mobile Device Keyboards,682,0.26640625,2560
22,3,Touch Pads,17,0.006640625,2560
20,1,Cable Interface/Gender Adapters,721,0.28263426107408857,2551
20,2,HDMI Cables,441,0.1728733829870639,2551
20,3,Video Cable Adapters,377,0.14778518228145826,2551
26,1,Data Storage Devices,2452,0.9979649979649979,2457
26,2,Data Storage Mediums,2,0.000814000814000814,2457
26,3,Tablets,1,0.000407000407000407,2457
68,1,Software Licenses/Upgrades,2406,0.9812398042414355,2452
68,2,Antivirus Security Software,21,0.008564437194127243,2452
68,3,Computer Utilities,11,0.004486133768352365,2452
41,1,Tablets,2390,0.9795081967213115,2440
41,2,Kids' Tablets,20,0.00819672131147541,2440
41,3,Notebooks,13,0.005327868852459016,2440
33,1,Notebooks,2411,0.9966928482844151,2419
33,2,All-in-One PCs/Workstations,8,0.0033071517155849523,2419
14,1,Wireless Routers,739,0.309853249475891,2385
14,2,System Components,605,0.25366876310272535,2385
14,3,WLAN Access Points,338,0.14171907756813418,2385
23,1,Data Storage Devices,2324,0.9818335445711872,2367
23,2,Digital Media Players,26,0.010984368398817067,2367
23,3,Computer Utilities,3,0.0012674271229404308,2367
227,1,Notebooks,2161,0.9250856164383562,2336
227,2,Tablets,171,0.07320205479452055,2336
227,3,POS Systems,3,0.0012842465753424657,2336
15,1,Camera Accessories,358,0.15371404036066982,2329
15,2,Radios,252,0.10820094461142121,2329
15,3,Data Storage Mediums,239,0.10261914984972091,2329
25,1,Flat Panel Wall Mounts,681,0.2936610608020699,2319
25,2,Projector Mounts,628,0.2708063820612333,2319
25,3,Flat Panel Desk Mounts,326,0.14057783527382492,2319
30,1,Power Cables,1315,0.5747377622377622,2288
30,2,Serial Attached SCSI (SAS) Cables,229,0.10008741258741259,2288
30,3,Networking Cables,176,0.07692307692307693,2288
156,1,Notebook Parts & Accessories,2145,0.9482758620689655,2262
156,2,Chassis Components,79,0.034924845269672856,2262
156,3,Tablet Spare Parts,32,0.014146772767462422,2262
173,1,Flat Panel Spare Parts,2238,0.998661311914324,2241
173,2,Tablet Spare Parts,3,0.0013386880856760374,2241
32,1,Data Storage Devices,2230,0.9968708091193563,2237
32,2,Embedded Computers,3,0.0013410818059901655,2237
32,3,Warranty & Support Extensions,1,0.0004470272686633885,2237
43,1,Networking Cables,1854,0.8306451612903226,2232
43,2,Cable Interface/Gender Adapters,109,0.04883512544802868,2232
43,3,Serial Cables,66,0.02956989247311828,2232
76,1,Uninterruptible Power Supplies (UPSs),1973,0.8859452177817692,2227
76,2,UPS Battery Cabinets,78,0.03502469690166143,2227
76,3,Chassis Components,38,0.01706331387516839,2227
28,1,System Components,2141,0.9736243747157799,2199
28,2,PC/Workstation Barebones,48,0.021828103683492497,2199
28,3,Chassis Components,4,0.0018190086402910413,2199
27,1,Chassis Components,284,0.13045475424896646,2177
27,2,System Components,271,0.12448323380799264,2177
27,3,Cable Interface/Gender Adapters,192,0.08819476343592099,2177
63,1,Notebook Parts & Accessories,2162,1.0,2162
50,1,Notebook Parts & Accessories,2143,0.9925891616489115,2159
50,2,System Components,15,0.006947660954145438,2159
50,3,Printing Supplies,1,0.0004631773969430292,2159
58,1,Printing Supplies,2073,0.9971139971139971,2079
58,2,Printing Media,3,0.001443001443001443,2079
58,3,Print & Scan Accessories,2,0.000962000962000962,2079
229,1,Notebooks,1961,0.9446050096339114,2076
229,2,Tablets,105,0.05057803468208093,2076
229,3,All-in-One PCs/Workstations,10,0.004816955684007707,2076
36,1,Printing Media,1278,0.6228070175438597,2052
36,2,Photographic Filmmaking Supplies,677,0.32992202729044834,2052
36,3,Printing Supplies,32,0.015594541910331383,2052
62,1,PCs/Workstations,2041,0.9975562072336266,2046
62,2,Tablets,5,0.0024437927663734115,2046
57,1,Notebooks,2040,1.0,2040
65,1,Notebooks,2018,0.999009900990099,2020
65,2,All-in-One PCs/Workstations,2,0.0009900990099009901,2020
64,1,Notebooks,1984,1.0,1984
38,1,Printing Supplies,1957,0.9928970065956367,1971
38,2,Mobile Device Chargers,3,0.0015220700152207,1971
38,3,Peripheral Device Cases,2,0.0010147133434804667,1971
35,1,Tablet Cases,1519,0.7817807514153371,1943
35,2,E-Book Reader Cases,114,0.05867215645908389,1943
35,3,Mobile Phone Cases,103,0.05301080802882141,1943
