cluster,rank,label,count,share,cluster_size
85,2,Chassis Components,1,0.00034578146611341634,2892
38,1,Warranty & Support Extensions,2477,0.8612656467315716,2876
38,2,IT Support Services,361,0.12552155771905424,2876
38,3,Installation Services,10,0.0034770514603616135,2876
49,1,Networking Cables,425,0.1528776978417266,2780
49,2,Uninterruptible Power Supplies (UPSs),269,0.09676258992805756,2780
49,3,Fibre Optic Cables,256,0.0920863309352518,2780
23,1,Screen Protectors,2741,0.99745269286754,2748
23,2,Mobile Phone Cases,3,0.001091703056768559,2748
23,3,Notebook Parts & Accessories,2,0.000727802037845706,2748
25,1,Printing Supplies,1629,0.5969219494320264,2729
25,2,Printing Equipment,344,0.1260534994503481,2729
25,3,Data Projectors,198,0.07255404910223526,2729
41,1,Mobile Headsets,1370,0.5057216685123662,2709
41,2,Audio Equipment Parts & Accessories,1304,0.48135843484680696,2709
41,3,Portable Speakers,10,0.0036913990402362494,2709
59,1,Notebook Parts & Accessories,2619,0.999618320610687,2620
59,2,Handheld Mobile Computer Spare Parts,1,0.0003816793893129771,2620
73,1,Antivirus Security Software,2256,0.8633754305396096,2613
73,2,Software Licenses/Upgrades,357,0.13662456946039037,2613
34,1,Notebook Parts & Accessories,2326,0.9517184942716858,2444
34,2,Chassis Components,80,0.03273322422258593,2444
34,3,Tablet Spare Parts,32,0.01309328968903437,2444
54,1,Tablets,2390,0.9795081967213115,2440
54,2,Kids' Tablets,20,0.00819672131147541,2440
54,3,Notebooks,13,0.005327868852459016,2440
43,1,Wireless Routers,739,0.309853249475891,2385
43,2,System Components,605,0.25366876310272535,2385
43,3,WLAN Access Points,338,0.14171907756813418,2385
142,1,Notebooks,2161,0.9250856164383562,2336
142,2,Tablets,171,0.07320205479452055,2336
142,3,POS Systems,3,0.0012842465753424657,2336
44,1,Camera Accessories,358,0.15371404036066982,2329
44,2,Radios,252,0.10820094461142121,2329
44,3,Data Storage Mediums,239,0.10261914984972091,2329
45,1,Flat Panel Wall Mounts,681,0.2936610608020699,2319
45,2,Projector Mounts,628,0.2708063820612333,2319
45,3,Flat Panel Desk Mounts,326,0.14057783527382492,2319
66,1,Uninterruptible Power Supplies (UPSs),1973,0.8859452177817692,2227
66,2,UPS Battery Cabinets,78,0.03502469690166143,2227
66,3,Chassis Components,38,0.01706331387516839,2227
47,1,System Components,2141,0.9736243747157799,2199
47,2,PC/Workstation Barebones,48,0.021828103683492497,2199
47,3,Chassis Components,4,0.0018190086402910413,2199
46,1,Chassis Components,284,0.13045475424896646,2177
46,2,System Components,271,0.12448323380799264,2177
46,3,Cable Interface/Gender Adapters,192,0.08819476343592099,2177
35,1,Notebooks,2142,1.0,2142
22,1,Audio Equipment Parts & Accessories,501,0.23422159887798036,2139
22,2,Mobile Headsets,190,0.08882655446470314,2139
22,3,Dictaphones,123,0.05750350631136045,2139
51,1,Printing Media,1278,0.6228070175438597,2052
51,2,Photographic Filmmaking Supplies,677,0.32992202729044834,2052
51,3,Printing Supplies,32,0.015594541910331383,2052
50,1,Tablet Cases,1519,0.7817807514153371,1943
50,2,E-Book Reader Cases,114,0.05867215645908389,1943
50,3,Mobile Phone Cases,103,0.05301080802882141,1943
53,1,Data Storage Devices,1855,0.9681628392484343,1916
53,2,Data Storage Mediums,41,0.02139874739039666,1916
53,3,System Components,5,0.0026096033402922755,1916
57,1,Mice,1619,0.8910291689598239,1817
57,2,Keyboards,78,0.04292790313703908,1817
57,3,Flat Panel Desk Mounts,37,0.020363236103467255,1817
69,1,Data Storage Devices,1769,0.9746556473829201,1815
69,2,Chassis Components,19,0.01046831955922865,1815
69,3,Warranty & Support Extensions,4,0.0022038567493112946,1815
75,1,Warranty & Support Extensions,1778,0.9877777777777778,1800
75,2,Installation Services,14,0.0077777777777777776,1800
75,3,Printing Equipment,2,0.0011111111111111111,1800
68,1,Warranty & Support Extensions,1306,0.7267668336115748,1797
68,2,IT Support Services,469,0.2609905397885364,1797
68,3,Notebook Parts & Accessories,6,0.00333889816360601,1797
130,1,PCs/Workstations,1583,0.9076834862385321,1744
130,2,All-in-One PCs/Workstations,159,0.0911697247706422,1744
130,3,Embedded Computers,1,0.0005733944954128441,1744
27,1,Cameras & Camcorders,1650,0.9466437177280551,1743
27,2,Video Conferencing Systems,41,0.023522662076878944,1743
27,3,Video Conferencing Cameras,32,0.01835915088927137,1743
70,1,Warranty & Support Extensions,1563,0.9013840830449827,1734
70,2,Notebook Parts & Accessories,43,0.024798154555940023,1734
70,3,Chassis Components,20,0.011534025374855825,1734
55,1,Camera Accessories,1304,0.7572590011614402,1722
55,2,Projection Lenses,105,0.06097560975609756,1722
55,3,Battery Chargers,64,0.03716608594657375,1722
26,1,Data Projectors,1650,0.9981851179673321,1653
26,2,Projector Accessories,1,0.0006049606775559589,1653
26,3,Mobile Device Chargers,1,0.0006049606775559589,1653
56,1,Portable Speakers,522,0.3175182481751825,1644
56,2,Loudspeakers,281,0.17092457420924576,1644
56,3,Soundbar Speakers,269,0.16362530413625304,1644
62,1,Household Batteries,1207,0.7450617283950617,1620
62,2,Battery Chargers,215,0.13271604938271606,1620
62,3,Cameras & Camcorders,66,0.040740740740740744,1620
96,1,Servers,1563,0.9930114358322745,1574
96,2,Server Barebones,4,0.0025412960609911056,1574
96,3,System Components,2,0.0012706480304955528,1574
77,1,Notebooks,1499,0.9646074646074646,1554
77,2,All-in-One PCs/Workstations,51,0.032818532818532815,1554
77,3,Tablets,4,0.002574002574002574,1554
95,1,Printing Supplies,1450,0.9615384615384616,1508
95,2,Laminator Pouches,36,0.023872679045092837,1508
95,3,Paper Shredders,20,0.013262599469496022,1508
71,1,Signage Displays,1380,0.9181636726546906,1503
71,2,Touch Screen Overlays,55,0.036593479707252165,1503
71,3,Flat Panel Wall Mounts,29,0.01929474384564205,1503
64,1,Chassis Components,1454,0.9732262382864793,1494
64,2,Patch Panels,11,0.007362784471218206,1494
64,3,System Components,6,0.004016064257028112,1494
65,1,Chassis Components,1197,0.8028169014084507,1491
65,2,Notebook Parts & Accessories,263,0.17639168343393696,1491
65,3,Internal Power Cables,17,0.011401743796109993,1491
60,1,System Components,1175,0.7971506105834464,1474
60,2,Chassis Components,151,0.10244233378561737,1474
60,3,Data Storage Devices,22,0.014925373134328358,1474
63,1,Network Switches,1233,0.8404907975460123,1467
63,2,Network Switch Components,59,0.04021813224267212,1467
63,3,System Components,53,0.03612815269256987,1467
132,1,Notebook Parts & Accessories,1465,1.0,1465
93,1,System Components,1376,0.9405331510594669,1463
93,2,Data Storage Devices,86,0.05878332194121668,1463
93,3,Embedded Computers,1,0.000683526999316473,1463
111,1,Notebook Parts & Accessories,1405,0.9770514603616134,1438
111,2,Tablet Spare Parts,23,0.015994436717663423,1438
111,3,Chassis Components,5,0.0034770514603616135,1438
76,1,Notebook Parts & Accessories,1416,0.9929873772791024,1426
76,2,Interface Components,2,0.001402524544179523,1426
76,3,Tablet Cases,2,0.001402524544179523,1426
89,1,Software Licenses/Upgrades,440,0.3160919540229885,1392
89,2,Network Switches,326,0.23419540229885058,1392
89,3,Network Media Converters,201,0.14439655172413793,1392
80,1,System Components,1350,0.9985207100591716,1352
80,2,Data Storage Devices,2,0.0014792899408284023,1352
81,1,Printing Media,792,0.6101694915254238,1298
81,2,Printing Supplies,407,0.3135593220338983,1298
81,3,Printing Equipment,37,0.028505392912172575,1298
126,1,PCs/Workstations,1132,0.8955696202531646,1264
126,2,All-in-One PCs/Workstations,66,0.05221518987341772,1264
126,3,Notebooks,64,0.05063291139240506,1264
29,1,Warranty & Support Extensions,1258,0.9968304278922345,1262
29,2,Installation Services,2,0.001584786053882726,1262
29,3,KVM Extenders,1,0.000792393026941363,1262
78,1,Printing Supplies,1236,0.9991915925626516,1237
78,2,Data Storage Mediums,1,0.0008084074373484236,1237
88,1,Server Barebones,1157,0.936084142394822,1236
88,2,PC/Workstation Barebones,44,0.03559870550161812,1236
88,3,Chassis Components,21,0.01699029126213592,1236
72,1,Software Licenses/Upgrades,344,0.28690575479566305,1199
72,2,Operating Systems,273,0.22768974145120935,1199
72,3,Office Suites,70,0.058381984987489574,1199
119,1,Notebooks,1120,0.9781659388646288,1145
119,2,All-in-One PCs/Workstations,18,0.01572052401746725,1145
119,3,Tablets,7,0.00611353711790393,1145
83,1,Power Supply Units,1022,0.9004405286343612,1135
83,2,Chassis Components,96,0.08458149779735682,1135
83,3,Power Adapters & Inverters,6,0.0052863436123348016,1135
109,1,Notebook Parts & Accessories,1069,0.9621962196219622,1111
109,2,Chassis Components,41,0.0369036903690369,1111
109,3,Flat Panel Desk Mounts,1,0.0009000900090009,1111
86,1,Projector Lamps,1093,0.9954462659380692,1098
86,2,Data Projectors,2,0.0018214936247723133,1098
86,3,Projector Mounts,1,0.0009107468123861566,1098
74,1,Printing Equipment,656,0.6007326007326007,1092
74,2,Printing Supplies,204,0.18681318681318682,1092
74,3,Print Servers,114,0.1043956043956044,1092
31,1,All-in-One PCs/Workstations,1069,0.9990654205607477,1070
31,2,Notebooks,1,0.0009345794392523365,1070
79,1,Mobile Device Chargers,740,0.6915887850467289,1070
79,2,Smartwatch Accessories,115,0.10747663551401869,1070
79,3,Mobile Phone Spare Parts,32,0.029906542056074768,1070
84,1,Chassis Components,979,0.9227144203581527,1061
84,2,Camera Accessories,30,0.02827521206409048,1061
84,3,Software Licenses/Upgrades,12,0.011310084825636193,1061
91,1,Cameras & Camcorders,520,0.49056603773584906,1060
91,2,Notebook Parts & Accessories,477,0.45,1060
91,3,Mobile Phone Spare Parts,38,0.035849056603773584,1060
82,1,Print & Scan Accessories,595,0.5704697986577181,1043
82,2,Printing Supplies,403,0.38638542665388304,1043
82,3,Warranty & Support Extensions,38,0.0364333652924257,1043
125,1,Power Distribution Units (PDUs),1011,0.9702495201535508,1042
125,2,Chassis Components,15,0.014395393474088292,1042
125,3,Power Supply Units,9,0.008637236084452975,1042
102,1,Software Licenses/Upgrades,438,0.42115384615384616,1040
102,2,Multimedia Software,355,0.34134615384615385,1040
102,3,Computer Utilities,209,0.20096153846153847,1040
114,1,Printing Supplies,1027,1.0,1027
87,1,Printing Supplies,797,0.7813725490196078,1020
87,2,Print & Scan Accessories,141,0.13823529411764707,1020
87,3,Computer Utilities,31,0.030392156862745098,1020
103,1,Data Storage Devices,942,0.9671457905544147,974
103,2,System Components,14,0.014373716632443531,974
103,3,Cameras & Camcorders,6,0.006160164271047228,974
101,1,KVM Switches,347,0.3641133263378804,953
101,2,KVM Cables,188,0.19727177334732424,953
101,3,Maintenance & Support Fees,117,0.12277019937040923,953
99,1,Mobile Phone Cases,706,0.7463002114164905,946
99,2,Tablet Cases,86,0.09090909090909091,946
99,3,Screen Protectors,86,0.09090909090909091,946
108,1,Display Privacy Filters,784,0.8349307774227902,939
108,2,Screen Protectors,142,0.15122470713525027,939
108,3,Patch Panels,5,0.005324813631522897,939
90,1,Print & Scan Accessories,913,0.9785637727759914,933
90,2,Printing Supplies,7,0.007502679528403001,933
90,3,Printing Equipment,3,0.003215434083601286,933
100,1,Notebook Parts & Accessories,690,0.7435344827586207,928
100,2,Mobile Device Dock Stations,114,0.12284482758620689,928
100,3,Cable Interface/Gender Adapters,22,0.023706896551724137,928
106,1,Network Transceiver Modules,813,0.8760775862068966,928
106,2,InfiniBand Cables,37,0.03987068965517242,928
106,3,Networking Cables,29,0.03125,928
154,1,Notebooks,928,1.0,928
117,1,Printing Supplies,910,0.9848484848484849,924
117,2,Data Storage Mediums,5,0.005411255411255411,924
117,3,Portable Speakers,2,0.0021645021645021645,924
98,1,System Components,905,0.9826275787187839,921
98,2,Server Barebones,15,0.016286644951140065,921
98,3,Servers,1,0.0010857763300760044,921
107,1,Networking Cables,517,0.5625680087051143,919
107,2,Keyboards,94,0.10228509249183895,919
107,3,USB Cables,56,0.060935799782372145,919
94,1,Data Storage Devices,883,0.9888017917133258,893
94,2,Notebook Parts & Accessories,3,0.0033594624860022394,893
94,3,Chassis Components,3,0.0033594624860022394,893
92,1,Mobile Phone Cases,197,0.22234762979683972,886
92,2,Cable Interface/Gender Adapters,53,0.05981941309255079,886
92,3,Mobile Device Chargers,48,0.05417607223476298,886
157,1,Notebook Parts & Accessories,810,0.9418604651162791,860
157,2,Chassis Components,33,0.03837209302325582,860
157,3,System Components,17,0.019767441860465116,860
97,1,Chassis Components,722,0.8514150943396226,848
97,2,Portable Speakers,42,0.049528301886792456,848
97,3,Mouse Pads,17,0.020047169811320754,848
105,1,DVD/Blu-Ray Players,438,0.5201900237529691,842
105,2,Data Storage Devices,160,0.19002375296912113,842
105,3,Portable DVD/Blu-Ray Players,84,0.0997624703087886,842
134,1,Warranty & Support Extensions,822,0.9762470308788599,842
134,2,Data Storage Devices,17,0.020190023752969122,842
134,3,Chassis Components,1,0.0011876484560570072,842
104,1,Mobile Phones,400,0.4932182490752158,811
104,2,Smartwatches,186,0.22934648581997533,811
104,3,Activity Trackers,93,0.11467324290998766,811
139,1,Keyboards,785,0.9703337453646477,809
139,2,Input Device Accessories,11,0.013597033374536464,809
139,3,Numeric Keypads,6,0.007416563658838072,809
118,1,Chassis Components,779,0.9774153074027604,797
118,2,Portable Device Management Carts & Cabinets,7,0.00878293601003764,797
118,3,Software Licenses/Upgrades,6,0.0075282308657465494,797
128,1,Computer Monitors,643,0.8505291005291006,756
128,2,Signage Displays,69,0.09126984126984126,756
128,3,Touch Screen Monitors,17,0.022486772486772486,756
120,1,Notebook Parts & Accessories,549,0.7290836653386454,753
120,2,Keyboards,204,0.27091633466135456,753
135,1,Printing Supplies,750,1.0,750
122,1,Telephony Equipment,655,0.8756684491978609,748
122,2,Fax Machines,35,0.04679144385026738,748
122,3,Two-Way Radios,29,0.03877005347593583,748
148,1,Notebook Parts & Accessories,669,0.902834008097166,741
148,2,Notebook Power Tips,54,0.0728744939271255,741
148,3,Tablet Spare Parts,12,0.016194331983805668,741
171,1,Notebooks,550,0.7801418439716312,705
171,2,PCs/Workstations,155,0.2198581560283688,705
112,1,Touch Screen Monitors,317,0.45611510791366905,695
112,2,Computer Monitors,210,0.302158273381295,695
112,3,Notebook Parts & Accessories,46,0.06618705035971223,695
151,1,Notebook Parts & Accessories,691,0.9971139971139971,693
151,2,System Components,1,0.001443001443001443,693
151,3,Chassis Components,1,0.001443001443001443,693
138,1,PCs/Workstations,662,0.9678362573099415,684
138,2,Backpack PCs,21,0.03070175438596491,684
138,3,PC/Workstation Barebones,1,0.0014619883040935672,684
116,1,Power Banks,647,0.9613670133729569,673
116,2,Mobile Device Chargers,23,0.03417533432392273,673
116,3,Portable Speakers,1,0.0014858841010401188,673
121,1,Network Switches,167,0.24851190476190477,672
121,2,Network Antennas,111,0.16517857142857142,672
121,3,System Components,48,0.07142857142857142,672
137,1,Warranty & Support Extensions,492,0.7365269461077845,668
137,2,Chassis Components,58,0.08682634730538923,668
137,3,Installation Services,49,0.07335329341317365,668
123,1,Data Storage Mediums,596,0.8948948948948949,666
123,2,Printing Supplies,23,0.03453453453453453,666
123,3,Data Storage Devices,22,0.03303303303303303,666
113,1,Cameras & Camcorders,653,0.9819548872180451,665
113,2,Camera Accessories,10,0.015037593984962405,665
113,3,Video Conferencing Cameras,1,0.0015037593984962407,665
115,1,Printing Supplies,643,0.9683734939759037,664
115,2,Printing Equipment,17,0.025602409638554216,664
115,3,Print & Scan Accessories,2,0.0030120481927710845,664
146,1,All-in-One PCs/Workstations,613,0.9373088685015291,654
146,2,PCs/Workstations,29,0.04434250764525994,654
146,3,PC/Workstation Barebones,7,0.010703363914373088,654
124,1,Warranty & Support Extensions,589,0.910355486862442,647
124,2,Print & Scan Accessories,26,0.0401854714064915,647
124,3,Printing Supplies,20,0.030911901081916538,647
186,1,Notebooks,644,1.0,644
170,1,PCs/Workstations,477,0.7418351477449455,643
170,2,Notebooks,159,0.24727838258164853,643
170,3,PC/Workstation Barebones,3,0.004665629860031105,643
144,1,Power Adapters & Inverters,585,0.962171052631579,608
144,2,Notebook Parts & Accessories,9,0.014802631578947368,608
144,3,Cable Interface/Gender Adapters,4,0.006578947368421052,608
145,1,Notebooks,392,0.6479338842975206,605
145,2,PCs/Workstations,202,0.3338842975206612,605
145,3,All-in-One PCs/Workstations,9,0.01487603305785124,605
149,1,Printing Equipment,587,0.9702479338842975,605
149,2,Printing Supplies,13,0.021487603305785124,605
149,3,Print & Scan Accessories,4,0.006611570247933884,605
169,1,Notebook Parts & Accessories,601,0.9966832504145937,603
169,2,Print & Scan Accessories,1,0.001658374792703151,603
169,3,Tablet Spare Parts,1,0.001658374792703151,603
136,1,Warranty & Support Extensions,536,0.9069373942470389,591
136,2,Computer Utilities,23,0.038917089678511,591
136,3,Notebooks,9,0.015228426395939087,591
133,1,Mobile Phone Cases,286,0.4855687606112054,589
133,2,Radios,63,0.10696095076400679,589
133,3,Mobile Device Chargers,47,0.07979626485568761,589
129,1,Data Storage Devices,190,0.3247863247863248,585
129,2,System Components,39,0.06666666666666667,585
129,3,Portable Speakers,38,0.06495726495726496,585
140,1,Navigational Equipment,359,0.6221837088388215,577
140,2,Sport Watches,72,0.12478336221837089,577
140,3,Sport Watch Accessories,42,0.07279029462738301,577
127,1,Calculators,550,0.9717314487632509,566
127,2,Camera Accessories,4,0.007067137809187279,566
127,3,Battery Chargers,4,0.007067137809187279,566
147,1,Chassis Components,539,0.9590747330960854,562
147,2,PC/Workstation Barebones,11,0.019572953736654804,562
147,3,Servers,8,0.014234875444839857,562
163,1,Notebook Parts & Accessories,542,0.9783393501805054,554
163,2,Mobile Phone Spare Parts,7,0.01263537906137184,554
163,3,Tablet Spare Parts,2,0.0036101083032490976,554
168,1,Warranty & Support Extensions,512,0.9481481481481482,540
168,2,Print & Scan Accessories,25,0.046296296296296294,540
168,3,Installation Services,3,0.005555555555555556,540
162,1,Notebook Parts & Accessories,522,0.9886363636363636,528
162,2,Camera Accessories,2,0.003787878787878788,528
162,3,Notebooks,2,0.003787878787878788,528
156,1,Notebooks,493,0.948076923076923,520
156,2,All-in-One PCs/Workstations,22,0.04230769230769231,520
156,3,PCs/Workstations,4,0.007692307692307693,520
141,1,Flat Panel Wall Mounts,194,0.3737957610789981,519
141,2,Flat Panel Floor Stands,108,0.20809248554913296,519
141,3,Chassis Components,47,0.0905587668593449,519
152,1,Print & Scan Accessories,293,0.5678294573643411,516
152,2,Warranty & Support Extensions,109,0.21124031007751937,516
152,3,Multimedia Software,50,0.09689922480620156,516
33,1,Notebook Parts & Accessories,493,0.9919517102615694,497
33,2,Network Antennas,4,0.008048289738430584,497
160,1,Notebooks,490,1.0,490
150,1,MP3/MP4 Players,402,0.8254620123203286,487
150,2,Kids' Tablet Accessories,38,0.07802874743326489,487
150,3,Kids' Tablets,18,0.03696098562628337,487
159,1,Projector Accessories,293,0.602880658436214,486
159,2,Projector Mount Accessories,187,0.38477366255144035,486
159,3,Print & Scan Accessories,1,0.00205761316872428,486
173,1,Warranty & Support Extensions,466,0.9728601252609603,479
173,2,Networking Software,9,0.018789144050104383,479
173,3,Software Licenses/Upgrades,3,0.006263048016701462,479
179,1,Warranty & Support Extensions,459,0.9683544303797469,474
179,2,Installation Services,3,0.006329113924050633,474
179,3,Software Licenses/Upgrades,3,0.006329113924050633,474
155,1,Thin Clients,345,0.7419354838709677,465
155,2,Embedded Computers,100,0.21505376344086022,465
155,3,Notebooks,11,0.023655913978494623,465
143,1,Camera Accessories,213,0.45905172413793105,464
143,2,Data Storage Mediums,81,0.17456896551724138,464
143,3,Tablet Cases,50,0.10775862068965517,464
183,1,Notebook Parts & Accessories,459,1.0,459
174,1,Notebooks,450,0.9977827050997783,451
174,2,PCs/Workstations,1,0.0022172949002217295,451
190,1,Smartphones,297,0.66,450
190,2,Tablets,125,0.2777777777777778,450
190,3,Notebooks,28,0.06222222222222222,450
165,1,Warranty & Support Extensions,431,0.9642058165548099,447
165,2,Data Storage Devices,11,0.024608501118568233,447
165,3,Software Licenses/Upgrades,3,0.006711409395973154,447
166,1,Mobile Phone Spare Parts,428,0.9683257918552036,442
166,2,Tablet Spare Parts,11,0.024886877828054297,442
166,3,Notebook Parts & Accessories,2,0.004524886877828055,442
167,1,Antivirus Security Software,341,0.7767653758542141,439
167,2,Software Licenses/Upgrades,63,0.14350797266514806,439
167,3,Computer Utilities,21,0.04783599088838269,439
180,1,Notebook Parts & Accessories,430,0.9817351598173516,438
180,2,System Components,6,0.0136986301369863,438
180,3,Chassis Components,1,0.00228310502283105,438
158,1,Software Licenses/Upgrades,207,0.4987951807228916,415
158,2,Hardware Firewalls,99,0.2385542168674699,415
158,3,Gateways/Controllers,33,0.07951807228915662,415
153,1,Remote Controls,320,0.810126582278481,395
153,2,Projector Accessories,19,0.04810126582278481,395
153,3,Finance Accounting Software,14,0.035443037974683546,395
182,1,System Components,391,0.9898734177215189,395
182,2,Power Adapters & Inverters,2,0.005063291139240506,395
182,3,Print & Scan Accessories,2,0.005063291139240506,395
161,1,Cameras & Camcorders,258,0.6615384615384615,390
161,2,Digital Photo Frames,111,0.2846153846153846,390
161,3,Video Conferencing Systems,11,0.028205128205128206,390
189,1,Software Licenses/Upgrades,231,0.6,385
189,2,Antivirus Security Software,152,0.3948051948051948,385
189,3,Networking Software,2,0.005194805194805195,385
176,1,Notebook Parts & Accessories,304,0.8172043010752689,372
176,2,Handheld Device Accessories,36,0.0967741935483871,372
176,3,Input Device Accessories,22,0.05913978494623656,372
164,1,Data Storage Devices,230,0.6497175141242938,354
