variant,purity,nmi,ari,v_measure,ami,n_clusters
purity_optimized,0.8900514796836918,0.6668710832361473,0.09636626964445268,0.6668710832361473,0.6620822057396629,366
balanced,0.8666855820143621,0.7269683459269827,0.3453473841733341,0.7269683459269827,0.7242354392167362,238
